Force;Distance;Time
0.3;2.729254;0.9066635
0.31;2.878396;0.9247278
0.32;2.659747;0.8426545
0.33;3.049119;0.9406298
0.34;3.249731;0.9781092
0.35;3.465994;0.9947641
0.36;3.626167;1.012211
0.3699999;3.683482;1.010384
0.3799999;3.847574;1.028195
0.3899999;4.058926;1.046005
0.3999999;4.270175;1.063815
0.4099999;4.45296;1.081625
0.4199999;4.585604;1.119435
0.4299999;4.696447;1.117245
0.4399999;4.9487;1.135056
0.4499999;5.172718;1.152691
0.4599999;5.364056;1.170673
0.4699998;5.54488;1.188486
0.4799998;5.763409;1.205711
0.4899998;6.00633;1.224106
0.4999998;6.154428;1.221917
0.5099998;6.350513;1.259722
0.5199998;6.329707;1.23663
0.5299998;6.783108;1.295347
0.5399998;7.050146;1.313157
0.5499998;7.329263;1.330904
0.5599998;7.559374;1.348753
0.5699998;7.667346;1.346588
